link_id,lane_km,Avg. speed limit,road_capacity_utilization,congestion_index,speed_performance_index,Simulated traffic volume,vol_car
0,0.88376379025308,50.005495487726144,0.0,1.0,1.0,0.0,0.0
2,0.3157281890426809,69.9890074232544,4.81150449971901E-5,1.0,1.0,3.0,3.0
4,0.6016043705314077,50.00405739548088,1.7824091898165964E-5,1.0,1.0,1.0,1.0
6,0.5131505576026719,50.00655100886847,0.0,1.0,1.0,0.0,0.0
8,0.03653207699745162,50.00588486343188,0.0,1.0,1.0,0.0,0.0
9,0.03653207699745162,50.00588486343188,0.0,1.0,1.0,0.0,0.0
10,0.42003319721779653,50.57645711405155,0.19274584199305073,0.8074442467710485,0.8426796233332878,11485.0,11485.0
12,0.02994433853893412,50.02302493743055,0.0,1.0,1.0,0.0,0.0
13,0.02994433853893412,50.02302493743055,0.0,1.0,1.0,0.0,0.0
14,0.03653207699745162,48.19865903124923,0.002263659671067079,0.9402636986219287,0.9638607305771907,127.0,127.0
15,0.03653207699745162,50.00588486343188,0.0,1.0,1.0,0.0,0.0
16,1.59339228551032,50.004465260013184,0.0,1.0,1.0,0.0,0.0
17,1.59339228551032,50.004465260013184,0.0,1.0,1.0,0.0,0.0
18,1.9317042812326026,60.01255986845967,0.0,1.0,1.0,0.0,0.0
20,0.6361727471132728,59.9624361182116,3.859951559286169E-4,0.9991054832054918,0.9991054832054918,23.0,23.0
22,0.1092140930199706,69.98411087075367,0.0,1.0,1.0,0.0,0.0
24,0.3125562400480085,59.341138035865875,0.15018309378456268,0.8296090077406091,0.8478753149830858,9364.0,9364.0
26,0.019157259413579392,47.65601666850614,0.0077534799757022,0.9217479810352691,0.9515546023523889,435.0,435.0
28,0.8187464748017953,49.96606381364873,0.001033797330093627,0.9992245813621816,0.9992245813621816,58.0,58.0
30,0.036365591175723355,51.93318565997997,0.15699933407444405,0.8526957656259113,0.8648355947154972,9355.0,9355.0
32,0.08286339345864395,39.998420012217515,0.0,1.0,1.0,0.0,0.0
34,0.12153656527525922,49.8976500300668,0.008145609997461847,0.9977743371154991,0.9977743371154991,457.0,457.0
36,0.3416098612215453,50.00998334340056,0.0,1.0,1.0,0.0,0.0
